,ShortLin,med,q_1,q_3
first_week,BA.1,27.297,24.179,30.918
last_week,BA.1,27.799,26.139,28.76
first_week,BA.1.1,25.637,22.8,28.15
last_week,BA.1.1,28.399,25.563,30.184
first_week,BA.2,26.681,22.557,29.128
last_week,BA.2,22.544,20.304,25.718
first_week,BA.2.12.1,22.972,21.203,26.129
last_week,BA.2.12.1,23.335,22.928,22.54
first_week,BA.4.6,21.2,18.944,23.75
last_week,BA.4.6,19.379,19.088,21.132
first_week,BA.5,23.077,19.61,25.606
last_week,BA.5,25.131,22.75,28.133
first_week,BQ.1.1,23.231,21.58,24.561
last_week,BQ.1.1,25.828,23.446,29.863
first_week,XBB.1.5,21.794,20.573,26.42
last_week,XBB.1.5,24.753,19.846,27.566
